sample_name,description
03_Clapo_01_SP,"bright,electronic,dry,hit, Clap, One shot"
03_SunHat_01_SP,"acoustic,bright,dry, Hi-hat, One shot"
06 - Strange Fruit,Long
07_Hats_03_SP,"bright,electronic, Hi-hat, One shot"
07_Hats_12_SP,"acoustic,bright,dry,open, Hi-hat, One shot"
07_Kick_03_SP,"dark,electronic,hit, Kick, One shot"
101_Clap_SP_08,"electronic,dry,hit, Clap, One shot"
104_KlimDubLazer_02_297,"dub,dry,saturated, FX, One shot"
104_KlimFX_02_297,"dry,destructed, Scratch, One shot"
104_Riser_06_297,"transition,dry,destructed, Scratch, One shot"
106_Hat_314_06,"acoustic,bright,dry,open, Hi-hat, One shot"
107BPM,"acoustic,clean,wet, Full-Kit, Loop"
12_HiHat_02_SP,"bright,electronic,dry, Hi-hat, One shot"
12_HiHat_16_SP,"bright,electronic,dry, Hi-hat, One shot"
12_Kick_08_SP,"acoustic,drum,hit, Kick, One shot"
12_Snare_04_SP,"acoustic,dry,hit, Rim, One shot"
21_Kick_43_SP_SP,"electronic,hit, Kick, One shot"
23_Hat_22_SP,"bright,electronic,dry, Hi-hat, One shot"
23_Hat_34_SP,"acoustic,bright,dry,hit,percussive, Snap, One shot"
23_Perc_30_SP,"acoustic,bright,clean,dry,metallic,percussive,struck,bells, Triangle, Loop"
23_Perc_30_SP,"acoustic,bright,clean,metallic,percussive,struck,bells, Triangle, One shot"
23_Perc_38_SP,"acoustic,dry,drum,hand drum,percussive,skin, Bongo, One shot"
23_Snare_30_SP,"bright,electronic,dry,hit, Snare + Clap, One shot"
26_Snare_10_SP,"bright,electronic,saturated,hit, Snare, One shot"
28_Kick_SP_03,"acoustic,drum,hit, Kick, One shot"
28_Kick_SP_18,"electronic,hit, Kick, One shot"
29_Snare_07_SP,"bright,electronic,dry,hit, Clap, One shot"
33_Clap_SP_01,"electronic,hit, Clap, One shot"
33_HiHat_SP_08,"acoustic,bright,dry,open, Hi-hat, One shot"
34_Shaker_SP_06,"bright,electronic,dry, Hi-hat, One shot"
34_Tamb_SP_05,"acoustic,bright,percussive,rattle, Shaker, One shot"
34_Timbale_SP_01,"acoustic,drum, Timbale, One shot"
34_Timbale_SP_02,"acoustic,drum, Timbale, One shot"
34_Timbale_SP_06,"acoustic,drum, Timbale, One shot"
34_Vibraslap_SP_01,"bright,hit, Percussion, One shot"
37_Clap_SP_05,"electronic,dry,hit, Clap, One shot"
37_Clap_SP_08,"bright,electronic,dry,hit, Snare + Clap, One shot"
37_Kick_SP_15,"electronic,dry,hit, Kick, One shot"
37_Snare_SP_09,"bright,electronic,dry,hit, Snare, One shot"
38_C_Lamp_SP,"bright,clean,electronic,dry,effects, Vocoder, Loop"
38_C_Lamp_SP,"acoustic,bright,metallic,percussive,struck,bells, Triangle, One shot"
38_DoorHandle_02_SP,"bright,cinematic,clean,percussive, Foley, One shot"
38_SteelCup_SP,"acoustic,drum,hand drum,percussive,skin, Conga, One shot"
39_Hat_10_SP,"bright,electronic,dry, Hi-hat, One shot"
39_Hat_14_SP,"bright,electronic, Hi-hat, One shot"
39_Hat_22_SP,"bright,electronic,dry, Hi-hat, One shot"
39_Perc_11_SP,"bright,electronic,dry,saturated, Hi-hat, One shot"
39_Snare_15_SP,"acoustic,bright,dry,hit, Rim, One shot"
40_Snare_02_SP,"electronic,hit, Snare + Clap, One shot"
40_TomsynthH_01_SP,"electronic,dry,percussive, Percussion, One shot"
41_Shaker_SP_02,"acoustic,bright,dry,percussive,rattle, Shaker, One shot"
42_HH_10,"bright,electronic,dry, Hi-hat, One shot"
46_Claps_07_SP,"bright,cinematic,dry,percussive, Foley, One shot"
46_Hats_09_SP,"acoustic,bright,dry,open, Hi-hat, One shot"
48_808CHH_SP_02,"bright,electronic,808,dry, Hi-hat, One shot"
48_DistClap_SP_01,"distorted,electronic,dry,hit, Clap, One shot"
48_LinnCY_SP_01,"bright,dry, Crash, One shot"
48_LinnTom_SP_01,"electronic,dry, Tom, One shot"
48_TR707Clap_SP_01,"bright,electronic,dry,hit, Clap, One shot"
53_CHH_Bit_SP_01,"bright,electronic,dry, Hi-hat, One shot"
53_CHH_Face_SP_01,"bright,electronic,dry, Hi-hat, One shot"
53_CHH_Funk_SP_01,"bright,electronic,dry, Hi-hat, One shot"
53_CHH_Stack_SP_01,"acoustic,bright,dry,percussive,rattle, Tambourine, One shot"
53_Nice_SP_01,"electronic,dry,hit, Kick, One shot"
61_Clap_SP_06,"acoustic,bright,hit,percussive, Snap, One shot"
61_Hat_SP_16,"bright,electronic,dry,saturated, Hi-hat, One shot"
61_Kick_SP_27,"electronic,dry,hit, Kick, One shot"
626_17_HiAgogo_SP,"acoustic,drum, Timbale, One shot"
64Tape808_DTY_CH_04,"bright,electronic,tape,dry, Hi-hat, One shot"
64Tape808_DTY_OH_D00_01,"bright,electronic,tape,dry, Hi-hat, One shot"
64_Clap_08,"bright,electronic,hit, Clap, One shot"
64_Kick_08,"electronic,dry,hit, Kick, One shot"
64_Kick_13,"electronic,dry,hit, Kick, One shot"
64_Perc_10,"acoustic,bright,wet,struck,bells, Cowbell, One shot"
64_Shaker_07,"bright,electronic,dry, Hi-hat, One shot"
64_Shaker_11,"bright,electronic,dry, Hi-hat, One shot"
67_Kick_SP_04,"electronic,hit, Kick, One shot"
67_Snare_SP_14,"bright,electronic,dry,hit, Snare, One shot"
67_Zap_SP_01,"bright,electronic,dry,percussive, Percussion, One shot"
68_FX_SP_03,"bright,clean,electronic,dry,down, Sweep, One shot"
707_02_Kick_01_SP,"acoustic,dry,drum,707,hit, Kick, One shot"
707_10_Handclap_SP,"bright,electronic,dry,707,hit, Clap, One shot"
707_16_RideCymbal_SP,"bright,dry,707, Ride, One shot"
70_HatOpen_SP_03,"acoustic,bright,dry,saturated,closed,open, Hi-hat, One shot"
72_Kick_SP_03,"electronic,hit, Kick, One shot"
72_Snare_SP_06,"bright,electronic,dry,hit, Snare, One shot"
